Player,Position,G,AB,H,2B,3B,HR,RBI,R,SB,BB,SO,AVG,OBP,SLG,OPS
Aaron Judge,RF,52,188,46,8,0,16,30,40,5,38,,.245,.377,.543,.920
Amed Rosario,3B,29,80,20,3,1,4,16,10,0,6,,.250,.292,.463,.755
Anthony Volpe,SS,8,23,5,2,0,0,3,2,2,7,,.217,.400,.304,.704
Austin Wells,C,39,118,20,1,0,4,6,12,0,21,,.169,.293,.280,.573
Ben Rice,1B,47,167,48,10,0,16,33,36,2,25,,.287,.383,.635,1.018
Cody Bellinger,LF,51,183,50,13,3,6,32,32,5,34,,.273,.382,.475,.857
J.C. Escarra,C,18,51,8,3,1,0,7,4,0,4,,.157,.214,.255,.469
Jazz Chisholm Jr.,2B,51,184,45,9,1,5,19,22,12,20,,.245,.320,.386,.706
José Caballero,SS,42,139,37,7,0,4,13,18,13,8,,.266,.325,.403,.728
Max Schuemann,SS,9,14,4,2,0,0,1,3,2,5,,.286,.474,.429,.903
Paul Blackburn,P,15,0,0,0,0,0,0,0,0,0,,.000,.000,.000,.000
Paul Goldschmidt,1B,27,82,21,5,1,5,14,15,0,10,,.256,.358,.524,.882
Ryan McMahon,3B,49,134,25,4,0,4,16,12,3,12,,.187,.253,.306,.559
Trent Grisham,CF,50,160,30,9,1,6,27,27,3,30,,.188,.313,.369,.682
