Player,Position,G,GS,W,L,SV,IP,ERA,SO,BB,WHIP,H,HR
Brent Headrick,P,26,0,3,1,0,26.0,2.08,,9,1.27,24,2
Cam Schlittler,P,11,11,6,2,0,66.0,1.50,,13,0.86,44,2
Camilo Doval,P,23,0,1,0,1,20.0,5.40,,4,1.10,18,4
Carlos Rodón,P,3,3,0,2,0,13.0,4.15,,11,1.46,8,0
David Bednar,P,22,0,1,3,11,22.0,4.91,,9,1.59,26,2
Fernando Cruz,P,24,0,3,1,0,20.2,2.18,,13,1.31,14,2
Gerrit Cole,P,1,1,0,0,0,6.0,0.00,,3,0.83,2,0
Jake Bird,P,20,0,1,1,0,16.1,4.41,,4,1.22,16,1
Paul Blackburn,P,15,1,2,1,0,22.1,3.22,,10,1.43,22,1
Ryan Weathers,P,9,9,2,2,0,50.1,3.58,,13,1.13,44,8
Ryan Yarbrough,P,10,0,0,0,0,16.2,4.32,,6,1.14,13,1
Tim Hill,P,24,0,0,2,0,19.2,2.75,,4,1.07,17,1
Will Warren,P,10,10,6,1,0,52.1,3.61,,13,1.18,49,6
